SYS_ID,BRAND,YY,SEASON,YYSEASON,STYLE_NO,STYLE_PO_NO,DEGREE,ITEM,SELLINGPRICE,MFGCOST,MARKUP,PURCHASEPRICE
FNF,M,25,3,25S,3ATSB6653,3ATSB6653B0001,B0001,TS,79000,1,79000,1
FNF,M,25,3,25S,3ATSB6853,3ATSB6853B0001,B0001,TS,69000,10450,6,10330
FNF,M,25,3,25S,3ATSV6153,3ATSV6153B0001,B0001,TS,79000,14710,5,14590
FNF,M,25,N,25N,3ASXD015N,3ASXD015NC0008,C0008,SX,139000,26200,5,26150
FNF,M,25,N,25N,3ASXP025N,3ASXP025NC0003,C0003,SX,159000,26050,6,26000
FNF,M,25,N,25N,3ASXD025N,3ASXD025NC0005,C0005,SX,159000,60,2409,10
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15NC0016,C0016,SH,179000,60,2712,10
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15NC0017,C0017,SH,179000,31070,5,31020
FNF,M,25,N,25N,3ASXE035N,3ASXE035NC0003,C0003,SX,169000,60,2561,10
FNF,X,25,N,25N,DXSH5155N,DXSH5155NC0001,C0001,SH,149000,1,149000,1
FNF,M,25,N,25N,3ASHCC35N,3ASHCC35NC0004,C0004,SH,169000,28810,5,28760
FNF,M,25,6,25F,3AWBCPM56,3AWBCPM56C0001,C0001,WB,139000,60,2106,10
FNF,M,25,N,25N,3ASXT015N,3ASXT015NC0004,C0004,SX,139000,23500,5,23450
FNF,M,25,N,25N,3ASXH015N,3ASXH015NC0001,C0001,SX,179000,31450,5,31400
FNF,M,25,6,25F,3AWBCSW56,3AWBCSW56C0001,C0001,WB,119000,22560,5,22510
FNF,M,25,6,25F,3AWBCS256,3AWBCS256C0001,C0001,WB,109000,19150,5,19100
FNF,M,25,N,25N,3ASHW005N,3ASHW005NC0001,C0001,SH,179000,28150,6,28100
FNF,M,25,N,25N,3ASXP025N,3ASXP025NC0004,C0004,SX,159000,26050,6,26000
FNF,M,25,N,25N,3ARNP035N,3ARNP035NC0001,C0001,RN,179000,28510,6,28460
FNF,M,25,6,25F,3AWBCS156,3AWBCS156C0001,C0001,WB,109000,20040,5,19990
FNF,M,25,N,25N,3ASXE035N,3ASXE035NC0004,C0004,SX,169000,25950,6,25900
FNF,M,25,N,25N,3ARNP015N,3ARNP015NC0003,C0003,RN,179000,28510,6,28460
FNF,X,25,6,25F,DWDJ80056,DWDJ80056K0001,K0001,DJ,279000,64570,4,64570
FNF,X,25,6,25F,DWDJ84056,DWDJ84056D0001,D0001,DJ,299000,10000,27,10000
FNF,X,25,6,25F,DWDJ84056,DWDJ84056K0001,K0001,DJ,299000,71000,4,71000
FNF,X,25,6,25F,DWDJ92056,DWDJ92056K0001,K0001,DJ,299000,71000,4,71000
FNF,I,25,3,25S,7ATSB1153,7ATSB1153K0003,K0003,TS,49000,10440,4,10320
FNF,I,25,3,25S,7ATSB1753,7ATSB1753K0002,K0002,TS,49000,9080,5,8960
FNF,I,25,3,25S,7ATSM0353,7ATSM0353C0004,C0004,TS,59000,11960,4,11840
FNF,I,25,3,25S,7AS1C3153,7AS1C3153C0001,C0001,S1,89000,20150,4,20030
